Date,Product,Region,Quantity,Revenue,OrderID
2025-04-13,Keyboard,North,3,270,86820
2025-04-13,Phone,East,3,2400,97498
2025-03-29,Monitor,West,3,900,77221
2025-11-05,Phone,West,4,3200,74925
2025-10-21,Phone,West,4,3200,93104
2025-11-10,Tablet,North,4,2000,35658
2025-06-19,Keyboard,West,3,270,77435
2025-02-24,Keyboard,West,1,90,21394
2025-11-03,Monitor,North,2,600,20627
2025-03-30,Keyboard,South,2,180,53001
2025-09-22,Phone,North,2,1600,33483
2025-09-21,Headphones,South,1,150,77121
2025-12-26,Keyboard,South,2,180,62995
2025-11-06,Monitor,East,2,600,82409
2025-02-13,Phone,South,4,3200,42606
2025-10-31,Tablet,East,4,2000,11016
2025-07-09,Monitor,West,5,1500,84065
2025-02-22,Phone,North,4,3200,49099
2025-02-10,Monitor,East,5,1500,58984
2025-11-23,Laptop,West,1,1200,77563
2025-05-16,Headphones,East,1,150,43159
2025-06-12,Headphones,North,3,450,48660
2025-08-19,Phone,North,4,3200,32662
2025-07-20,Keyboard,South,1,90,99135
2025-03-03,Monitor,East,4,1200,73335
2025-08-02,Headphones,East,1,150,18110
2025-05-11,Laptop,North,2,2400,16910
2025-12-25,Headphones,North,2,300,33419
2025-06-28,Laptop,West,5,6000,97939
2025-08-10,Monitor,East,5,1500,77214
2025-06-20,Monitor,West,5,1500,72623
2025-11-23,Headphones,East,4,600,53585
2025-06-19,Monitor,South,1,300,12693
2025-10-11,Keyboard,West,4,360,35939
2025-10-13,Tablet,East,2,1000,85766
2025-12-14,Laptop,East,1,1200,40080
2025-10-10,Tablet,North,4,2000,65016
2025-09-16,Tablet,West,3,1500,13748
2025-08-13,Headphones,South,4,600,76199
2025-11-11,Tablet,West,1,500,64384
2025-11-14,Laptop,South,4,4800,93211
2025-10-22,Phone,East,1,800,77172
2025-04-23,Laptop,East,1,1200,10854
2025-08-12,Laptop,North,3,3600,56717
2025-05-10,Monitor,West,2,600,36309
2025-09-04,Keyboard,East,3,270,22688
2025-09-12,Tablet,West,5,2500,62083
2025-04-08,Tablet,South,3,1500,90623
2025-05-24,Laptop,North,4,4800,96202
2025-11-22,Monitor,East,4,1200,12811
2025-12-12,Headphones,East,3,450,21411
2025-12-18,Keyboard,North,1,90,93879
2025-05-08,Phone,West,1,800,11802
2025-05-31,Tablet,South,3,1500,26646
2025-09-09,Phone,West,1,800,26371
2025-03-01,Laptop,South,1,1200,30932
2025-02-06,Headphones,East,1,150,17400
2025-04-09,Headphones,West,3,450,14499
2025-06-01,Tablet,West,1,500,22183
2025-04-26,Headphones,North,4,600,63351
2025-12-06,Tablet,East,1,500,92018
2025-06-02,Monitor,South,2,600,87505
2025-11-06,Headphones,West,5,750,48467
2025-10-16,Tablet,North,4,2000,68871
2025-05-15,Headphones,North,1,150,80091
2025-01-22,Tablet,South,5,2500,84290
2025-09-21,Headphones,East,2,300,58404
2025-10-13,Laptop,West,1,1200,50764
2025-10-31,Headphones,West,3,450,83744
2025-06-21,Keyboard,South,5,450,92989
2025-01-06,Headphones,West,1,150,43828
2025-10-07,Monitor,North,5,1500,76235
2025-04-26,Monitor,North,1,300,95314
2025-05-08,Phone,North,2,1600,33093
2025-02-27,Headphones,West,2,300,82991
2025-12-08,Phone,East,3,2400,20729
2025-09-30,Laptop,North,3,3600,88069
2025-06-25,Monitor,South,2,600,60993
2025-01-13,Keyboard,South,1,90,80316
2025-01-20,Laptop,West,4,4800,97922
2025-05-23,Keyboard,South,2,180,20966
2025-12-08,Headphones,North,2,300,59726
2025-07-09,Monitor,South,2,600,66661
2025-11-01,Keyboard,South,3,270,78027
2025-04-11,Laptop,West,5,6000,13051
2025-04-18,Monitor,East,4,1200,64021
2025-12-31,Keyboard,South,3,270,49734
2025-11-04,Monitor,South,4,1200,93613
2025-05-27,Laptop,West,3,3600,38251
2025-02-27,Phone,North,2,1600,18308
